no,nama_barang,kategori,kode_barang
6430,Medice Bottle,PERALATAN DAN MESIN,1.3.2.08.01.19.041
6431,Liquid Medicine Bottle,PERALATAN DAN MESIN,1.3.2.08.01.19.042
6432,"Steril Bottle Witt, Cup",PERALATAN DAN MESIN,1.3.2.08.01.19.043
6433,Droping Bottle,PERALATAN DAN MESIN,1.3.2.08.01.19.044
6434,Graduated Cylinder,PERALATAN DAN MESIN,1.3.2.08.01.19.045
6435,Presceription Botle,PERALATAN DAN MESIN,1.3.2.08.01.19.046
6436,Medicine Cup,PERALATAN DAN MESIN,1.3.2.08.01.19.047
6437,Spatula,PERALATAN DAN MESIN,1.3.2.08.01.19.048
6438,Ointment Plate,PERALATAN DAN MESIN,1.3.2.08.01.19.049
6439,Paste Pot,PERALATAN DAN MESIN,1.3.2.08.01.19.050
6440,Ointment Can,PERALATAN DAN MESIN,1.3.2.08.01.19.051
6441,Ointment Pan,PERALATAN DAN MESIN,1.3.2.08.01.19.052
6442,Ointment Jar,PERALATAN DAN MESIN,1.3.2.08.01.19.053
6443,Bottle Washer,PERALATAN DAN MESIN,1.3.2.08.01.19.054
6444,Rotary Bottle Rack,PERALATAN DAN MESIN,1.3.2.08.01.19.055
6445,Lig Medis Bottle Rak,PERALATAN DAN MESIN,1.3.2.08.01.19.056
6446,Capsule Filling Machine,PERALATAN DAN MESIN,1.3.2.08.01.19.057
6447,Presciption Counter,PERALATAN DAN MESIN,1.3.2.08.01.19.058
6448,Capsule Container,PERALATAN DAN MESIN,1.3.2.08.01.19.059
6449,Power Mixer,PERALATAN DAN MESIN,1.3.2.08.01.19.060
6450,Stirer,PERALATAN DAN MESIN,1.3.2.08.01.19.061
6451,Tablet  Machine,PERALATAN DAN MESIN,1.3.2.08.01.19.062
6452,Pump Fiter,PERALATAN DAN MESIN,1.3.2.08.01.19.063
6453,alat laboratorium farmasi  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.19.064
6454,ALAT LABORATORIUM FISIKA,PERALATAN DAN MESIN,1.3.2.08.01.20.000
6455,Adaptor,PERALATAN DAN MESIN,1.3.2.08.01.20.001
6456,Signal Generator (Alat Laboratorium Fisika),PERALATAN DAN MESIN,1.3.2.08.01.20.002
6457,VU Meter,PERALATAN DAN MESIN,1.3.2.08.01.20.003
6458,Kaca Plan Paralel,PERALATAN DAN MESIN,1.3.2.08.01.20.004
6459,Rangkaian Hambatan Jembatan Seri,PERALATAN DAN MESIN,1.3.2.08.01.20.005
6460,Rangkaian Hukum,PERALATAN DAN MESIN,1.3.2.08.01.20.006
6461,Hambatan Jembatan Wheatstome,PERALATAN DAN MESIN,1.3.2.08.01.20.007
6462,Garpu Tala,PERALATAN DAN MESIN,1.3.2.08.01.20.008
6463,Timer Switch,PERALATAN DAN MESIN,1.3.2.08.01.20.009
6464,Magnet U,PERALATAN DAN MESIN,1.3.2.08.01.20.010
6465,Kaca Prisma,PERALATAN DAN MESIN,1.3.2.08.01.20.011
6466,Lensa Cembung,PERALATAN DAN MESIN,1.3.2.08.01.20.012
6467,Bangku Optik,PERALATAN DAN MESIN,1.3.2.08.01.20.013
6468,Pipa Resonansi,PERALATAN DAN MESIN,1.3.2.08.01.20.014
6469,Audio Generator,PERALATAN DAN MESIN,1.3.2.08.01.20.015
6470,Battery Changer,PERALATAN DAN MESIN,1.3.2.08.01.20.016
6471,Power Supply (Alat Laboratorium Fisika),PERALATAN DAN MESIN,1.3.2.08.01.20.017
6472,alat laboratorium fisika  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.20.018
6473,ALAT LABORATORIUM HIDRODINAMIKA,PERALATAN DAN MESIN,1.3.2.08.01.21.000
6474,Carbatec Portable,PERALATAN DAN MESIN,1.3.2.08.01.21.001
6475,Gas Analysis Apparatus (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.002
6476,Law Volume Dust Sampler (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.003
6477,Middle Volume Air Sampler (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.004
6478,Multi Shihet Filter Press,PERALATAN DAN MESIN,1.3.2.08.01.21.005
6479,Thin Layer Chromatography (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.006
6480,Bench Scale/Biooxidation System,PERALATAN DAN MESIN,1.3.2.08.01.21.007
6481,Disolved Solid Mater Por (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.008
6482,Hydrothermograph (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.009
6483,Thermohigrograph (Alat Laboratorium Hidrodinamika),PERALATAN DAN MESIN,1.3.2.08.01.21.010
6484,Martindale Wear And Abration Tester (Alat Laboratorium Hidrodinam,PERALATAN DAN MESIN,1.3.2.08.01.21.011
6485,alat laboratorium hidrodinamika  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.21.012
6486,ALAT LABORATORIUM KLIMATOLOGI,PERALATAN DAN MESIN,1.3.2.08.01.22.000
6487,Carbotec Portable,PERALATAN DAN MESIN,1.3.2.08.01.22.001
6488,Gas Analysis Apparatus (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.002
6489,Law Volume Dust Sampler (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.003
6490,Middle Volume Air Sampler (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.004
6491,Multi Sheet Filter Press,PERALATAN DAN MESIN,1.3.2.08.01.22.005
6492,Thin Layer Chromatography (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.006
6493,Bench Scale/Bioxidation System,PERALATAN DAN MESIN,1.3.2.08.01.22.007
6494,Disolved Solid Mater Por (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.008
6495,Hydrothermograph (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.009
6496,Thermohigrograph (Alat Laboratorium Klimatologi),PERALATAN DAN MESIN,1.3.2.08.01.22.010
6497,Martindale Wear And Abration Tester (Alat Laboratorium Klimatolog,PERALATAN DAN MESIN,1.3.2.08.01.22.011
6498,Rain Gauge Transfer Calibrator,PERALATAN DAN MESIN,1.3.2.08.01.22.012
6499,Pressure Chamber,PERALATAN DAN MESIN,1.3.2.08.01.22.013
6500,Rain Gauge Laboratorium Calibrator,PERALATAN DAN MESIN,1.3.2.08.01.22.014
6501,Ion Chromatography,PERALATAN DAN MESIN,1.3.2.08.01.22.015
6502,Spectrophotometer,PERALATAN DAN MESIN,1.3.2.08.01.22.016
6503,Humidity Meter Standard,PERALATAN DAN MESIN,1.3.2.08.01.22.017
6504,Zero Air Supply,PERALATAN DAN MESIN,1.3.2.08.01.22.018
6505,Humidity Chamber,PERALATAN DAN MESIN,1.3.2.08.01.22.019
6506,alat laboratorium klimatologi  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.22.020
6507,ALAT LABORATORIUM PROSES PELEBURAN,PERALATAN DAN MESIN,1.3.2.08.01.23.000
6508,Cupola,PERALATAN DAN MESIN,1.3.2.08.01.23.001
6509,Shot Blast,PERALATAN DAN MESIN,1.3.2.08.01.23.002
6510,Shake Out,PERALATAN DAN MESIN,1.3.2.08.01.23.003
6511,Fual Pump,PERALATAN DAN MESIN,1.3.2.08.01.23.004
6512,Ladle Heating,PERALATAN DAN MESIN,1.3.2.08.01.23.005
6513,Induction Furnace (Alat Laboratorium Proses Peleburan),PERALATAN DAN MESIN,1.3.2.08.01.23.006
6514,Bale Out Furnace,PERALATAN DAN MESIN,1.3.2.08.01.23.007
6515,Tilting Furnace,PERALATAN DAN MESIN,1.3.2.08.01.23.008
6516,Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.23.009
6517,Ghanematic Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.23.010
6518,Work Bench (Alat Laboratorium Proses Peleburan),PERALATAN DAN MESIN,1.3.2.08.01.23.011
6519,Gantry Crane,PERALATAN DAN MESIN,1.3.2.08.01.23.012
6520,Rotary Furnace,PERALATAN DAN MESIN,1.3.2.08.01.23.013
6521,Small Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.23.014
6522,Hand Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.23.015
6523,Pyrometer Digital,PERALATAN DAN MESIN,1.3.2.08.01.23.016
6524,Carbon Aquipment Metic,PERALATAN DAN MESIN,1.3.2.08.01.23.017
6525,Tentip/Tectip,PERALATAN DAN MESIN,1.3.2.08.01.23.018
6526,Digital Ce Meter,PERALATAN DAN MESIN,1.3.2.08.01.23.019
6527,Steel Analysis Digital,PERALATAN DAN MESIN,1.3.2.08.01.23.020
6528,alat laboratorium proses peleburan  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.23.021
6529,ALAT LABORATORIUM PASIR,PERALATAN DAN MESIN,1.3.2.08.01.24.000
6530,Lab Sifter,PERALATAN DAN MESIN,1.3.2.08.01.24.001
6531,Jolt Aqueeze App,PERALATAN DAN MESIN,1.3.2.08.01.24.002
6532,Wet Tensile Strength,PERALATAN DAN MESIN,1.3.2.08.01.24.003
6533,Central Controler,PERALATAN DAN MESIN,1.3.2.08.01.24.004
6534,Compresive Stress,PERALATAN DAN MESIN,1.3.2.08.01.24.005
6535,Testing App,PERALATAN DAN MESIN,1.3.2.08.01.24.006
6536,Universal Strenght Machine,PERALATAN DAN MESIN,1.3.2.08.01.24.007
6537,Assesories Universal Strength,PERALATAN DAN MESIN,1.3.2.08.01.24.008
6538,Sintering Furnace,PERALATAN DAN MESIN,1.3.2.08.01.24.009
6539,Cheking Device,PERALATAN DAN MESIN,1.3.2.08.01.24.010
6540,Agitator,PERALATAN DAN MESIN,1.3.2.08.01.24.011
6541,Rammer,PERALATAN DAN MESIN,1.3.2.08.01.24.012
6542,Assesories Sand Rammer,PERALATAN DAN MESIN,1.3.2.08.01.24.013
6543,Permeability Tester,PERALATAN DAN MESIN,1.3.2.08.01.24.014
6544,Infra Red Rapid Dryer,PERALATAN DAN MESIN,1.3.2.08.01.24.015
6545,Stereoscopic Microopic,PERALATAN DAN MESIN,1.3.2.08.01.24.016
6546,Mould Hardness Tester,PERALATAN DAN MESIN,1.3.2.08.01.24.017
6547,Labo Firniture,PERALATAN DAN MESIN,1.3.2.08.01.24.018
6548,Mettler Balance,PERALATAN DAN MESIN,1.3.2.08.01.24.019
6549,Flow Ability Test,PERALATAN DAN MESIN,1.3.2.08.01.24.020
6550,Labo Mixer,PERALATAN DAN MESIN,1.3.2.08.01.24.021
6551,Sand Sample & Sand Container,PERALATAN DAN MESIN,1.3.2.08.01.24.022
6552,Continous Clay Washer,PERALATAN DAN MESIN,1.3.2.08.01.24.023
6553,Foundry Sand Pycnometer,PERALATAN DAN MESIN,1.3.2.08.01.24.024
6554,Turbo Mixer,PERALATAN DAN MESIN,1.3.2.08.01.24.025
6555,Ditato Meter,PERALATAN DAN MESIN,1.3.2.08.01.24.026
6556,Green Tensile Strength,PERALATAN DAN MESIN,1.3.2.08.01.24.027
6557,Core Hardness Tester,PERALATAN DAN MESIN,1.3.2.08.01.24.028
6558,alat laboratorium pasir  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.24.029
6559,ALAT LABORATORIUM PROSES PEMBUATAN CEKATAN,PERALATAN DAN MESIN,1.3.2.08.01.25.000
6560,Sand Preparation,PERALATAN DAN MESIN,1.3.2.08.01.25.001
6561,Moulding Machine,PERALATAN DAN MESIN,1.3.2.08.01.25.002
6562,Ribon Flow Mixer,PERALATAN DAN MESIN,1.3.2.08.01.25.003
6563,Mixer Zarnic,PERALATAN DAN MESIN,1.3.2.08.01.25.004
6564,Core Making Machine,PERALATAN DAN MESIN,1.3.2.08.01.25.005
6565,Core Work Banch,PERALATAN DAN MESIN,1.3.2.08.01.25.006
6566,Sand Drying,PERALATAN DAN MESIN,1.3.2.08.01.25.007
6567,Pneumatic,PERALATAN DAN MESIN,1.3.2.08.01.25.008
6568,alat laboratorium proses pembuatan cekatan  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.25.009
6569,ALAT LABORATORIUM PEMBUATAN POLA,PERALATAN DAN MESIN,1.3.2.08.01.26.000
6570,Circulair Saw,PERALATAN DAN MESIN,1.3.2.08.01.26.001
6571,Universal Milling Machine (Alat Laboratorium Proses Pembuatan Pola),PERALATAN DAN MESIN,1.3.2.08.01.26.002
6572,Combined Planning Machine,PERALATAN DAN MESIN,1.3.2.08.01.26.003
6573,Wood Lathe,PERALATAN DAN MESIN,1.3.2.08.01.26.004
6574,Portable Router,PERALATAN DAN MESIN,1.3.2.08.01.26.005
6575,Spidle Sander,PERALATAN DAN MESIN,1.3.2.08.01.26.006
6576,Small Bore Machines,PERALATAN DAN MESIN,1.3.2.08.01.26.007
6577,Abrasive Band Machines,PERALATAN DAN MESIN,1.3.2.08.01.26.008
6578,Movable Dust Colector,PERALATAN DAN MESIN,1.3.2.08.01.26.009
6579,Automatic Grinding,PERALATAN DAN MESIN,1.3.2.08.01.26.010
6580,Tools Grinding,PERALATAN DAN MESIN,1.3.2.08.01.26.011
6581,Work Bench (Alat Laboratorium Proses Pembuatan Pola),PERALATAN DAN MESIN,1.3.2.08.01.26.012
6582,Drawing Equipment,PERALATAN DAN MESIN,1.3.2.08.01.26.013
6583,Vertical Abrasive,PERALATAN DAN MESIN,1.3.2.08.01.26.014
6584,Hot Melt Hand Gun,PERALATAN DAN MESIN,1.3.2.08.01.26.015
6585,Wood Lathe Machine,PERALATAN DAN MESIN,1.3.2.08.01.26.016
6586,Hand Drill,PERALATAN DAN MESIN,1.3.2.08.01.26.017
6587,Electric Band Saw,PERALATAN DAN MESIN,1.3.2.08.01.26.018
6588,Grinder Band Saw,PERALATAN DAN MESIN,1.3.2.08.01.26.019
6589,alat laboratorium pembuatan pola  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.26.020
6590,ALAT LABORATORIUM METALOGRAPHY,PERALATAN DAN MESIN,1.3.2.08.01.27.000
6591,Orsat Analisa Gas,PERALATAN DAN MESIN,1.3.2.08.01.27.001
6592,Water Still,PERALATAN DAN MESIN,1.3.2.08.01.27.002
6593,C.S Strochlein,PERALATAN DAN MESIN,1.3.2.08.01.27.003
6594,Heating Furnace,PERALATAN DAN MESIN,1.3.2.08.01.27.004
6595,Polisishing Machine,PERALATAN DAN MESIN,1.3.2.08.01.27.005
6596,Electro Lyseur,PERALATAN DAN MESIN,1.3.2.08.01.27.006
6597,Electro Analysis App,PERALATAN DAN MESIN,1.3.2.08.01.27.007
6598,Carbon Determinator,PERALATAN DAN MESIN,1.3.2.08.01.27.008
6599,Sulphur Determinaor,PERALATAN DAN MESIN,1.3.2.08.01.27.009
6600,Metallspectroskop,PERALATAN DAN MESIN,1.3.2.08.01.27.010
6601,Probensammlung,PERALATAN DAN MESIN,1.3.2.08.01.27.011
6602,Defectometer,PERALATAN DAN MESIN,1.3.2.08.01.27.012
6603,Polasation Aurustung Fur Mikroskop,PERALATAN DAN MESIN,1.3.2.08.01.27.013
6604,Isomet Wiedertourensage Mit Zubehor Buehler,PERALATAN DAN MESIN,1.3.2.08.01.27.014
6605,Micrometer Messokuler,PERALATAN DAN MESIN,1.3.2.08.01.27.015
6606,Portable Ultrasonic Non Destruktive Digital (Pundit),PERALATAN DAN MESIN,1.3.2.08.01.27.016
6607,Flashlight Stroboscope,PERALATAN DAN MESIN,1.3.2.08.01.27.017
6608,Mess Telescope Spectrophotometer,PERALATAN DAN MESIN,1.3.2.08.01.27.018
6609,Carbon Sulfur,PERALATAN DAN MESIN,1.3.2.08.01.27.019
6610,Drumeter,PERALATAN DAN MESIN,1.3.2.08.01.27.020
6611,Hot Win,PERALATAN DAN MESIN,1.3.2.08.01.27.021
6612,Portable Coorrosometer Instrument,PERALATAN DAN MESIN,1.3.2.08.01.27.022
6613,High Temperatur Furnace Contor,PERALATAN DAN MESIN,1.3.2.08.01.27.023
6614,Scanning Microskop,PERALATAN DAN MESIN,1.3.2.08.01.27.024
6615,Stereo Microskop,PERALATAN DAN MESIN,1.3.2.08.01.27.025
6616,alat laboratorium metalography  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.27.026
6617,ALAT LABORATORIUM PROSES PENGELASAN,PERALATAN DAN MESIN,1.3.2.08.01.28.000
6618,Welding Rectifier (Alat Laboratorium Proses Pengelasan),PERALATAN DAN MESIN,1.3.2.08.01.28.001
6619,Welding Tranformat,PERALATAN DAN MESIN,1.3.2.08.01.28.002
6620,TIG Welding Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.003
6621,NIG/MAG Welding Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.004
6622,Cercomatic Automatic,PERALATAN DAN MESIN,1.3.2.08.01.28.005
6623,Vertomatic Automatic,PERALATAN DAN MESIN,1.3.2.08.01.28.006
6624,Spot Welding Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.007
6625,Stud Welding Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.008
6626,Oxy Acetileng Copier Cutting,PERALATAN DAN MESIN,1.3.2.08.01.28.009
6627,Plasma Cutting,PERALATAN DAN MESIN,1.3.2.08.01.28.010
6628,Manual Pipe Cutter Oxy Acetilence,PERALATAN DAN MESIN,1.3.2.08.01.28.011
6629,Plate Bending Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.012
6630,Hydroulic Prosses Brake Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.013
6631,Portal Press,PERALATAN DAN MESIN,1.3.2.08.01.28.014
6632,Nimbling Machine/Mesin Nimbling,PERALATAN DAN MESIN,1.3.2.08.01.28.015
6633,Hand Putch Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.016
6634,Hand Plate Ahear,PERALATAN DAN MESIN,1.3.2.08.01.28.017
6635,Hand Whear Cutting,PERALATAN DAN MESIN,1.3.2.08.01.28.018
6636,Hand Roll Machine,PERALATAN DAN MESIN,1.3.2.08.01.28.019
6637,alat laboratorium proses pengelasan  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.28.020
6638,ALAT LABORATORIUM UJI PROSES PENGELASAN,PERALATAN DAN MESIN,1.3.2.08.01.29.000
6639,Universal Testing Machine (Alat Laboratorium Uji Proses Pengelasan),PERALATAN DAN MESIN,1.3.2.08.01.29.001
6640,Impact Test,PERALATAN DAN MESIN,1.3.2.08.01.29.002
6641,Magnetic Particle (Alat Laboratorium Uji Proses Pengelasan),PERALATAN DAN MESIN,1.3.2.08.01.29.003
6642,Flourecence Test,PERALATAN DAN MESIN,1.3.2.08.01.29.004
6643,alat laboratorium uji proses pengelasan  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.29.005
6644,ALAT LABORATORIUM PROSES PEMBUATAN LOGAM,PERALATAN DAN MESIN,1.3.2.08.01.30.000
6645,Converntion Lathe,PERALATAN DAN MESIN,1.3.2.08.01.30.001
6646,Cnc - Lathe,PERALATAN DAN MESIN,1.3.2.08.01.30.002
6647,Gear Hobbing Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.003
6648,Boring & Milling Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.004
6649,Press Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.005
6650,Hydroulic Hand Press,PERALATAN DAN MESIN,1.3.2.08.01.30.006
6651,Precission Filling Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.007
6652,Surface Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.008
6653,Cylindrical Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.009
6654,Puch Electrode Shaping Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.010
6655,The Spark Erosion Machine Toll (EDM),PERALATAN DAN MESIN,1.3.2.08.01.30.011
6656,Optical Profile Grinding Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.012
6657,Milling Machine (Alat Laboratorium Proses Pembuatan Logam),PERALATAN DAN MESIN,1.3.2.08.01.30.013
6658,Jig Boring Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.014
6659,Hydraulic Handling Equipment,PERALATAN DAN MESIN,1.3.2.08.01.30.015
6660,Tool Grinder Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.016
6661,Band Saw Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.017
6662,Hack Sawing Machine,PERALATAN DAN MESIN,1.3.2.08.01.30.018
6663,Abrasive Cut Off Wheele,PERALATAN DAN MESIN,1.3.2.08.01.30.019
6664,alat laboratorium proses pembuatan logam  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.30.020
6665,ALAT LABORATORIUM METROLOGIE,PERALATAN DAN MESIN,1.3.2.08.01.31.000
6666,Linear Measuring Tools,PERALATAN DAN MESIN,1.3.2.08.01.31.001
6667,Measuring Standard And Calibers,PERALATAN DAN MESIN,1.3.2.08.01.31.002
6668,Miscellaneous,PERALATAN DAN MESIN,1.3.2.08.01.31.003
6669,Angle Measuring Tools (Jangka Sorong),PERALATAN DAN MESIN,1.3.2.08.01.31.004
6670,Surface Roughnes Instrument,PERALATAN DAN MESIN,1.3.2.08.01.31.005
6671,Rougness Tester,PERALATAN DAN MESIN,1.3.2.08.01.31.006
6672,Flatness Instrument And Tools Geare & Acrewa Threec,PERALATAN DAN MESIN,1.3.2.08.01.31.007
6673,Profil Measuring Instrument,PERALATAN DAN MESIN,1.3.2.08.01.31.008
6674,Treching & Leveling Instrument,PERALATAN DAN MESIN,1.3.2.08.01.31.009
6675,Meusuring Machine,PERALATAN DAN MESIN,1.3.2.08.01.31.010
6676,alat laboratorium metrologie  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.31.011
6677,ALAT LABORATORIUM PELAPISAN LOGAM,PERALATAN DAN MESIN,1.3.2.08.01.32.000
6678,Ticknes Tester,PERALATAN DAN MESIN,1.3.2.08.01.32.001
6679,Baumeter,PERALATAN DAN MESIN,1.3.2.08.01.32.002
6680,Bak Electronic,PERALATAN DAN MESIN,1.3.2.08.01.32.003
6681,Rectifiler,PERALATAN DAN MESIN,1.3.2.08.01.32.004
6682,Burner,PERALATAN DAN MESIN,1.3.2.08.01.32.005
6683,Heater (Alat Laboratorium Proses Pelapisan Logam),PERALATAN DAN MESIN,1.3.2.08.01.32.006
6684,alat laboratorium pelapisan logam  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.32.007
6685,ALAT LABORATORIUM PROSES PENGOLAHAN PANAS,PERALATAN DAN MESIN,1.3.2.08.01.33.000
6686,Dapur Pengerasan Induksi,PERALATAN DAN MESIN,1.3.2.08.01.33.001
6687,Dapur Pemanas Garam,PERALATAN DAN MESIN,1.3.2.08.01.33.002
6688,Dapur Kamar,PERALATAN DAN MESIN,1.3.2.08.01.33.003
6689,Sand Blasting,PERALATAN DAN MESIN,1.3.2.08.01.33.004
6690,Dapur Temper,PERALATAN DAN MESIN,1.3.2.08.01.33.005
6691,Bak Pendingin,PERALATAN DAN MESIN,1.3.2.08.01.33.006
6692,Crane (500 Kg),PERALATAN DAN MESIN,1.3.2.08.01.33.007
6693,Tempat Peyimpanan Garam,PERALATAN DAN MESIN,1.3.2.08.01.33.008
6694,Penetral Cyanida,PERALATAN DAN MESIN,1.3.2.08.01.33.009
6695,Exhaust Fan,PERALATAN DAN MESIN,1.3.2.08.01.33.010
6696,Cleaning Instalation,PERALATAN DAN MESIN,1.3.2.08.01.33.011
6697,alat laboratorium proses pengolahan panas  lainnya (dst),PERALATAN DAN MESIN,1.3.2.08.01.33.012
6698,ALAT LABORATORIUM PROSES TEKNOLOGI TEKSTIL,PERALATAN DAN MESIN,1.3.2.08.01.34.000
6699,Penyisir Serat Rami,PERALATAN DAN MESIN,1.3.2.08.01.34.001
6700,Dekortikasi,PERALATAN DAN MESIN,1.3.2.08.01.34.002
6701,Mesin Vernekel,PERALATAN DAN MESIN,1.3.2.08.01.34.003
6702,Mesin Selection Sutera,PERALATAN DAN MESIN,1.3.2.08.01.34.004
6703,Mesin Hani Tangan,PERALATAN DAN MESIN,1.3.2.08.01.34.005
6704,Alat Kebut,PERALATAN DAN MESIN,1.3.2.08.01.34.006
6705,Mesin Dobby,PERALATAN DAN MESIN,1.3.2.08.01.34.007
6706,Mesin Jacguard,PERALATAN DAN MESIN,1.3.2.08.01.34.008
6707,Mesin Pelubang Karton,PERALATAN DAN MESIN,1.3.2.08.01.34.009
6708,Mesin Panding,PERALATAN DAN MESIN,1.3.2.08.01.34.010
6709,Pinstenter,PERALATAN DAN MESIN,1.3.2.08.01.34.011
6710,HT Drying,PERALATAN DAN MESIN,1.3.2.08.01.34.012
6711,Mesin Celup (Alat Laboratorium Proses Teknologi Tekstil),PERALATAN DAN MESIN,1.3.2.08.01.34.013
6712,Mesin Bleaching,PERALATAN DAN MESIN,1.3.2.08.01.34.014
6713,Mesin Spreding Cut,PERALATAN DAN MESIN,1.3.2.08.01.34.015
6714,Mesin Blindstitch,PERALATAN DAN MESIN,1.3.2.08.01.34.016
6715,Mesin Jahit Lockstitich,PERALATAN DAN MESIN,1.3.2.08.01.34.017
6716,Thread Overadge Stitch,PERALATAN DAN MESIN,1.3.2.08.01.34.018
6717,Mesin Overdeck,PERALATAN DAN MESIN,1.3.2.08.01.34.019
6718,Mesin Potong Tegak,PERALATAN DAN MESIN,1.3.2.08.01.34.020
6719,Mesin Bundar,PERALATAN DAN MESIN,1.3.2.08.01.34.021
6720,Mesin Jahit Chain Stitch,PERALATAN DAN MESIN,1.3.2.08.01.34.022
6721,Feed Of The Arm,PERALATAN DAN MESIN,1.3.2.08.01.34.023
6722,matter half,PERALATAN DAN MESIN,1.3.2.08.01.34.024
6723,Mesin Press Kain,PERALATAN DAN MESIN,1.3.2.08.01.34.025
6724,Mesin Strika Uap,PERALATAN DAN MESIN,1.3.2.08.01.34.026
6725,Mesin Blowing,PERALATAN DAN MESIN,1.3.2.08.01.34.027
6726,Mesin Carding,PERALATAN DAN MESIN,1.3.2.08.01.34.028
6727,Mesin Drawing,PERALATAN DAN MESIN,1.3.2.08.01.34.029
6728,Mesin Spinning,PERALATAN DAN MESIN,1.3.2.08.01.34.030
6729,Mesin Winding,PERALATAN DAN MESIN,1.3.2.08.01.34.031
6730,Mesin Silver Lap,PERALATAN DAN MESIN,1.3.2.08.01.34.032
6731,Mesin Ribbon Lap,PERALATAN DAN MESIN,1.3.2.08.01.34.033
6732,Mesin Combing,PERALATAN DAN MESIN,1.3.2.08.01.34.034
6733,Mesin Hroving,PERALATAN DAN MESIN,1.3.2.08.01.34.035
6734,Mesin Gintir,PERALATAN DAN MESIN,1.3.2.08.01.34.036
6735,Mesin Ginning,PERALATAN DAN MESIN,1.3.2.08.01.34.037
6736,Mesin Tali,PERALATAN DAN MESIN,1.3.2.08.01.34.038
6737,Mesin Packing Benang,PERALATAN DAN MESIN,1.3.2.08.01.34.039
6738,Mesin Kanji,PERALATAN DAN MESIN,1.3.2.08.01.34.040
6739,Mesin Sambung,PERALATAN DAN MESIN,1.3.2.08.01.34.041
6740,Mesin Cucuk,PERALATAN DAN MESIN,1.3.2.08.01.34.042
6741,Mesin Cucuk Tangan,PERALATAN DAN MESIN,1.3.2.08.01.34.043
6742,Alat Tenun Reeling,PERALATAN DAN MESIN,1.3.2.08.01.34.044
6743,Mesin Inspeksi Kain,PERALATAN DAN MESIN,1.3.2.08.01.34.045
6744,Mesin Jahit Dial Lingking,PERALATAN DAN MESIN,1.3.2.08.01.34.046
6745,Mesin Jahit Locksitik,PERALATAN DAN MESIN,1.3.2.08.01.34.047
